cl_sk,cl_cpf,cl_nome,cl_sobrenome,cl_dt_inicio,cl_dt_fim,cl_is_atual
1,11111111129,Gabriel,Torres,2026-09-13 18:46:20.70437,,t
2,11111111130,Helena,Castro,2026-09-13 18:46:20.70437,,t
3,11111111131,Igor,Ramos,2026-09-13 18:46:20.70437,,t
4,11111111132,Julia,Farias,2026-09-13 18:46:20.70437,,t
5,11111111133,Kleber,Duarte,2026-09-13 18:46:20.70437,,t
6,11111111134,Larissa,Gomes,2026-09-13 18:46:20.70437,,t
7,11111111135,Mateus,Pereira,2026-09-13 18:46:20.70437,,t
8,11111111136,Natália,Almeida,2026-09-13 18:46:20.70437,,t
9,11111111137,Otávio,Cunha,2026-09-13 18:46:20.70437,,t
10,11111111138,Paula,Freitas,2026-09-13 18:46:20.70437,,t
11,11111111139,Quintino,Barbosa,2026-09-13 18:46:20.70437,,t
12,11111111140,Renata,Xavier,2026-09-13 18:46:20.70437,,t
13,11111111141,Sérgio,Machado,2026-09-13 18:46:20.70437,,t
14,11111111142,Tatiana,Novaes,2026-09-13 18:46:20.70437,,t
15,11111111143,Ulisses,Siqueira,2026-09-13 18:46:20.70437,,t
16,11111111144,Vanessa,Guedes,2026-09-13 18:46:20.70437,,t
17,11111111145,Wagner,Mendonça,2026-09-13 18:46:20.70437,,t
18,11111111146,Ximena,Vieira,2026-09-13 18:46:20.70437,,t
19,11111111147,Yasmin,Lopes,2026-09-13 18:46:20.70437,,t
20,11111111148,Zeca,Azevedo,2026-09-13 18:46:20.70437,,t
21,11111111149,Aline,Ribeiro,2026-09-13 18:46:20.70437,,t
22,11111111150,Bento,Salles,2026-09-13 18:46:20.70437,,t
23,11111111151,Cecília,Camargo,2026-09-13 18:46:20.70437,,t
24,11111111152,Danilo,Portela,2026-09-13 18:46:20.70437,,t
25,11111111153,Estela,Nogueira,2026-09-13 18:46:20.70437,,t
26,11111111154,Felipe,Assis,2026-09-13 18:46:20.70437,,t
27,11111111155,Giulia,Bittencourt,2026-09-13 18:46:20.70437,,t
28,11111111156,Hugo,Coutinho,2026-09-13 18:46:20.70437,,t
29,11111111157,Isadora,Drummond,2026-09-13 18:46:20.70437,,t
30,11111111158,João,Esteves,2026-09-13 18:46:20.70437,,t
