cor_sk,cor_cpf,cor_registro,cor_nome,cor_sobrenome,cor_dt_inicio,cor_dt_fim,cor_is_atual
1,11111111111,CRECI-RJ-10000,Ana,Souza,2026-09-13 18:46:20.701342,,t
2,11111111112,CRECI-RJ-10111,Bruno,Lima,2026-09-13 18:46:20.701342,,t
3,11111111113,CRECI-RJ-10222,Carla,Nunes,2026-09-13 18:46:20.701342,,t
4,11111111114,CRECI-SP-10333,Diego,Farias,2026-09-13 18:46:20.701342,,t
5,11111111115,CRECI-SP-10444,Elisa,Prado,2026-09-13 18:46:20.701342,,t
6,11111111116,CRECI-SP-10555,Fábio,Teixeira,2026-09-13 18:46:20.701342,,t
7,11111111117,CRECI-MG-10666,Gustavo,Barros,2026-09-13 18:46:20.701342,,t
8,11111111118,CRECI-MG-10777,Heloisa,Moreira,2026-09-13 18:46:20.701342,,t
9,11111111119,CRECI-ES-10888,Ivan,Cardoso,2026-09-13 18:46:20.701342,,t
10,11111111120,CRECI-PR-10999,Joana,Pinto,2026-09-13 18:46:20.701342,,t
